searc_city,city,country,lat,lng,temp,humidity,cloudiness,windspeed
alofi,Alofi,NU,-19.0595,-169.9187,69.8,100,10,3.44
tuatapere,Tuatapere,NZ,-46.1333,167.6833,37.0,89,92,3.0
lorengau,Lorengau,PG,-2.0226,147.2712,82.54,82,97,8.55
ponta do sol,Ponta do Sol,PT,32.6667,-17.1,74.35,29,20,23.02
juneau,Juneau,US,58.3019,-134.4197,40.87,87,90,9.22
atar,Atar,MR,20.5169,-13.0499,97.97,9,38,7.99
kodiak,Saint Paul Harbor,US,57.79,-152.4072,39.2,93,75,3.02
thompson,Thompson,CA,55.7435,-97.8558,26.6,86,90,6.91
pangnirtung,Pangnirtung,CA,66.1451,-65.7125,23.0,86,75,13.8
richards bay,Richards Bay,ZA,-28.783,32.0377,73.18,36,0,4.68
plettenberg bay,Plettenberg Bay,ZA,-34.0527,23.3716,63.12,79,100,3.09
santiago del estero,Santiago del Estero,AR,-27.7951,-64.2615,72.59,36,0,7.92
ler,Leer,SS,8.3018,30.1418,88.36,45,18,3.94
provideniya,Provideniya,RU,64.3833,-173.3,38.82,59,67,8.55
broome,Broome,US,42.2506,-75.833,67.33,30,1,5.75
luderitz,Lüderitz,NA,-26.6481,15.1594,65.23,85,10,4.5
waitati,Waitati,NZ,-45.75,170.5667,44.01,85,100,5.99
stenlille,Stenlille,DK,55.5402,11.5915,50.02,76,75,5.75
severo-kurilsk,Severo-Kuril'sk,RU,50.6789,156.125,39.22,74,8,4.25
kabo,Kabo,CF,7.6994,18.629,85.89,53,63,3.89
shenjiamen,Shenjiamen,CN,29.9576,122.298,70.0,92,82,24.34
mataura,Mataura,NZ,-46.1927,168.8643,37.0,89,100,3.0
binga,Binga,ZW,-17.6203,27.3414,71.47,55,3,5.28
lebu,Lebu,CL,-37.6167,-73.65,57.16,76,83,10.87
krutinka,Krutinka,RU,56.0055,71.5113,62.29,65,30,10.11
abyek,Ābyek,IR,36.0667,50.55,67.12,34,75,6.91
vostok,Vostok,RU,46.4856,135.8833,44.1,94,94,6.78
corozal,Corozal,CO,9.3151,-75.2928,87.73,63,85,5.48
mayumba,Mayumba,GA,-3.432,10.6554,82.08,79,38,7.14
uzunovo,Uzunovo,RU,54.5386,38.6173,63.7,76,0,11.12
